date,home,away,home_score,away_score,division
2026-09-05,UIndy,Findlay,10,30,D2
2026-09-05,Jamestown,Sioux Falls,0,31,D2
2026-09-05,Ferrum,Emory & Henry,16,55,D3
2026-09-05,Concord,Bluefield St.,26,22,D2
2026-09-05,Black Hills St.,Dakota St.,44,31,D2
2026-09-05,South Dakota Mines,Southwest Baptist,38,17,D2
2026-09-05,Lenoir-Rhyne,West Ala.,23,34,D2
2026-09-05,American Int'l,Lock Haven,21,14,D2
2026-09-05,Lake Erie,Saint Anselm,35,7,D2
2026-09-05,Eastern N.M.,Colorado Mesa,23,42,D2
2026-09-05,West Liberty,Seton Hill,28,24,D2
2026-09-05,Bemidji St.,Southwest Minn. St.,38,0,D2
2026-09-05,Allen,Fla. Memorial,31,38,D2
2026-09-05,Shorter,Benedict,20,24,D2
2026-09-05,Fort Valley St.,Tuskegee,23,24,D2
2026-09-05,ETSU,Tusculum,48,14,FCS
2026-09-05,Robert Morris,West Virginia St.,29,9,FCS
2026-09-05,Alabama St.,Lane,34,0,FCS
2026-09-05,N.C. Central,Elizabeth City St.,27,6,FCS
2026-09-05,Southern U.,Kentucky St.,34,15,FCS
2026-09-05,Fayetteville St.,UNC Pembroke,10,7,D2
2026-09-05,Lincoln (PA),West Chester,13,21,D2
2026-09-05,Northern Mich.,Tiffin,7,35,D2
2026-09-05,UVA Wise,Chowan,20,24,D2
2026-09-05,Virginia Union,Livingstone,49,20,D2
2026-09-05,Catawba,North Greenville,38,40,D2
2026-09-05,Walsh,Wheeling,23,21,D2
2026-09-05,Anderson (SC),Keiser,21,14,D2
2026-09-05,Saginaw Valley,Tex. A&M-Kingsville,41,24,D2
2026-09-05,Mary,Minnesota St.,7,48,D2
2026-09-05,Alabama A&M,Miles,38,23,FCS
2026-09-05,Jackson St.,Edward Waters,66,14,FCS
2026-09-05,Grambling,Central St. (OH),48,26,FCS
2026-09-05,Missouri S&T,Northeastern St.,7,27,D2
2026-09-05,Barton,Shaw,13,23,D2
2026-09-05,Mo. Southern St.,Upper Iowa,21,19,D2
2026-09-05,Delta St.,Wingate,13,36,D2
2026-09-05,Newberry,Reinhardt,38,3,D2
2026-09-05,Quincy,Roosevelt,28,41,D2
2026-09-05,Cal Poly,Central Wash.,24,17,FCS
2026-09-05,Winston-Salem,Mars Hill,0,17,D2
2026-09-05,Fort Lewis,Arizona Christian,27,9,D2
2026-09-05,Pittsburg St.,Emporia St.,10,21,D2
2026-09-06,Johnson C. Smith,Albany St. (GA),27,7,D2
2026-09-03,Montclair St.,Merchant Marine,24,41,D3
2026-09-03,Virginia-Lynchburg,Roanoke,7,37,D3
2026-09-03,Olivet,Millikin,39,19,D3
2026-09-03,Trine,UChicago,48,34,D3
2026-09-03,UW-River Falls,Southern Va.,73,7,D3
2026-09-03,Wooster,Wilmington (OH),19,22,D3
2026-09-03,Juniata,Gettysburg,7,24,D3
2026-09-03,Ohio Wesleyan,Bluffton,68,9,D3
2026-09-03,Marietta,Westminster (PA),34,24,D3
2026-09-03,SUNY Brockport,Buffalo St.,68,0,D3
2026-09-03,Millsaps,Belhaven,36,20,D3
2026-09-03,Beloit,Rockford,14,12,D3
2026-09-04,Nichols,MIT,7,35,D3
2026-09-04,Dickinson,Randolph-Macon,27,14,D3
2026-09-04,Methodist,Shenandoah,3,30,D3
2026-09-04,Albright,Gallaudet,44,7,D3
2026-09-04,Keystone,Alvernia,25,21,D3
2026-09-04,Hobart,Alfred,24,17,D3
2026-09-04,Rochester (NY),CWRU,20,38,D3
2026-09-04,Stevenson,Bridgewater (VA),17,0,D3
2026-09-04,Rowan,Mary Hardin-Baylor,14,35,D3
2026-09-04,Franklin & Marshall,Lebanon Valley,31,7,D3
2026-09-04,Norwich,St. Lawrence,10,18,D3
2026-09-04,UMass Dartmouth,Salve Regina,13,21,D3
2026-09-04,Ursinus,Delaware Valley,17,14,D3
2026-09-04,Springfield,Western New Eng.,42,28,D3
2026-09-04,Misericordia,Hartwick,42,14,D3
2026-09-04,McDaniel,Catholic,13,7,D3
2026-09-04,Carthage,Lakeland,23,14,D3
2026-09-04,Pacific (OR),Howard Payne,0,49,D3
2026-09-05,Martin Luther,Macalester,21,34,D3
2026-09-05,Minn.-Morris,Concordia Chicago,19,52,D3
2026-09-05,North Central (IL),Bethel (MN),44,21,D3
2026-09-05,Elmhurst,Illinois Col.,13,28,D3
2026-09-05,Grove City,Cortland,18,28,D3
2026-09-05,Albion,Ill. Wesleyan,10,24,D3
2026-09-05,Wabash,Hampden-Sydney,29,20,D3
2026-09-05,Endicott,Eastern,24,14,D3
2026-09-05,Otterbein,Calvin,21,53,D3
2026-09-05,Heidelberg,Maryville (TN),40,14,D3
2026-09-05,Coast Guard,U New England,49,35,D3
2026-09-05,Moravian,Muhlenberg,7,34,D3
2026-09-05,Utica,Wash. & Jeff.,26,11,D3
2026-09-05,Rensselaer,WPI,35,7,D3
